SM_LINCS_ID	SM_CENTER_COMPOUND_ID
LSM-1568	BRD-A44701612
LSM-1569	BRD-A44780397
LSM-1570	BRD-A44862234
LSM-1571	BRD-A45140972
LSM-1572	BRD-A45206415
LSM-1573	BRD-A45333398
LSM-1574	BRD-A45499626
LSM-1575	BRD-A45543382
LSM-1576	BRD-A45657137
LSM-1577	BRD-A45889380
LSM-1578	BRD-A46186775
LSM-1579	BRD-A46393198
LSM-1580	BRD-A46747628
LSM-1581	BRD-A47065382
LSM-1582	BRD-A47144777
LSM-1583	BRD-A47494775
LSM-1584	BRD-A47513740
LSM-1585	BRD-A47598013
LSM-1586	BRD-A47633927
LSM-1587	BRD-A47714657
LSM-1588	BRD-A47816767
LSM-1589	BRD-A48052484
LSM-1590	BRD-A48237631
LSM-1591	BRD-A48257147
LSM-1592	BRD-A48430263
LSM-1593	BRD-A48570745
LSM-1594	BRD-A48720949
LSM-1595	BRD-A48809242
LSM-1596	BRD-A49046702
LSM-1597	BRD-A49148672
LSM-1598	BRD-A49160188
LSM-1599	BRD-A49225603
LSM-1600	BRD-A49358627
LSM-1601	BRD-A49370193
LSM-1602	BRD-A49447682
LSM-1603	BRD-A49680073
LSM-1604	BRD-A49734948
LSM-1605	BRD-A49765801
LSM-1606	BRD-A49906757
LSM-1607	BRD-A50311610
LSM-1608	BRD-A50675702
LSM-1609	BRD-A50684349
LSM-1610	BRD-A50737080
LSM-1611	BRD-A50764878
LSM-1612	BRD-A50928468
LSM-1613	BRD-A51393488
LSM-1614	BRD-A51410489
LSM-1615	BRD-A51666293
LSM-1616	BRD-A51714012
LSM-1617	BRD-A51820102
LSM-1618	BRD-A51829654
LSM-1619	BRD-A51929314
LSM-1620	BRD-A52172093
LSM-1621	BRD-A52326238
LSM-1622	BRD-A52530684
LSM-1623	BRD-A52588987
LSM-1624	BRD-A52660433
LSM-1625	BRD-A52805806
LSM-1626	BRD-A53077924
LSM-1627	BRD-A53107311
LSM-1628	BRD-A53131506
LSM-1629	BRD-A53416814
LSM-1630	BRD-A53576514
LSM-1631	BRD-A54029483
LSM-1632	BRD-A54194844
LSM-1633	BRD-A54236247
LSM-1634	BRD-A54445976
LSM-1635	BRD-A54487287
LSM-1636	BRD-A54490543
LSM-1637	BRD-A54596827
LSM-1638	BRD-A54632525
LSM-1639	BRD-A54845972
LSM-1640	BRD-A54880345
LSM-1641	BRD-A54927599
LSM-1642	BRD-A55369275
LSM-1643	BRD-A55393291
LSM-1644	BRD-A55416093
LSM-1645	BRD-A55484088
LSM-1646	BRD-A55554369
LSM-1647	BRD-A55594068
LSM-1648	BRD-A55609290
LSM-1649	BRD-A55913614
LSM-1650	BRD-A68891053
LSM-1650	BRD-A55946879
LSM-1651	BRD-A55962179
LSM-1652	BRD-A56012032
LSM-1653	BRD-A56020723
LSM-1654	BRD-A56675431
LSM-1655	BRD-A56831909
LSM-1656	BRD-A56987319
LSM-1657	BRD-A57382968
LSM-1658	BRD-A57457122
LSM-1659	BRD-A58048407
LSM-1660	BRD-A58157837
LSM-1661	BRD-A58269583
LSM-1662	BRD-A58564983
LSM-1663	BRD-A58924247
LSM-1664	BRD-A59174698
LSM-1665	BRD-A59215453
LSM-1666	BRD-A59303141
LSM-1667	BRD-A59900482
LSM-1668	BRD-A59943784
LSM-1669	BRD-A60197193
LSM-1670	BRD-A60274948
LSM-1671	BRD-A60294240
LSM-1672	BRD-A60414806
LSM-1673	BRD-A60571864
LSM-1674	BRD-A60583491
LSM-1675	BRD-A60784279
LSM-1676	BRD-A61189834
LSM-1677	BRD-A61392169
LSM-1678	BRD-A61470182
LSM-1679	BRD-A61599461
LSM-1680	BRD-A61793559
LSM-1681	BRD-A61825514
LSM-1682	BRD-A61899133
LSM-1683	BRD-A62021152
LSM-1684	BRD-A62035778
LSM-1685	BRD-A62057054
LSM-1686	BRD-A91992993
LSM-1686	BRD-A62071884
LSM-1687	BRD-A62184259
LSM-1688	BRD-A62336480
LSM-1689	BRD-A62496920
LSM-1690	BRD-A62525898
LSM-1691	BRD-A62647958
LSM-1692	BRD-A63043573
LSM-1693	BRD-A63346720
LSM-1694	BRD-A63546914
LSM-1695	BRD-A63667919
LSM-1696	BRD-A63836183
LSM-1697	BRD-A63894585
LSM-1698	BRD-A63949900
LSM-1699	BRD-A63998256
LSM-1700	BRD-A64092382
LSM-1701	BRD-A64125466
LSM-1702	BRD-A64227845
LSM-1703	BRD-A69815203
LSM-1703	BRD-A64290322
LSM-1704	BRD-A64850503
LSM-1705	BRD-A64933752
LSM-1706	BRD-A64977602
LSM-1707	BRD-A65076780
LSM-1708	BRD-A65145453
LSM-1709	BRD-A65280694
LSM-1710	BRD-A65440446
LSM-1711	BRD-A65449987
LSM-1712	BRD-A65516924
LSM-1713	BRD-A65550283
LSM-1714	BRD-A65597028
LSM-1715	BRD-A65615053
LSM-1716	BRD-A65671304
LSM-1717	BRD-A65739223
LSM-1718	BRD-A65767837
LSM-1719	BRD-A66199457
LSM-1720	BRD-A66435872
LSM-1721	BRD-A66559694
LSM-1722	BRD-A66563878
LSM-1723	BRD-A66604020
LSM-1724	BRD-A66846505
LSM-1725	BRD-A66861218
LSM-1726	BRD-A66927094
LSM-1727	BRD-A67433117
LSM-1727	BRD-A85025557
LSM-1728	BRD-A67479912
LSM-1729	BRD-A67799922
LSM-1730	BRD-A67862938
LSM-1731	BRD-A68009927
LSM-1732	BRD-A68039575
LSM-1733	BRD-A68065211
LSM-1734	BRD-A68281735
LSM-1735	BRD-A68397902
LSM-1736	BRD-A68723818
LSM-1737	BRD-A68820570
LSM-1738	BRD-A68890828
LSM-1739	BRD-A68929948
LSM-1740	BRD-A68930007
LSM-1741	BRD-A69421747
LSM-1742	BRD-A69429454
LSM-1743	BRD-A69470004
LSM-1744	BRD-A69636825
LSM-1745	BRD-A69917777
LSM-1746	BRD-A69960130
LSM-1747	BRD-A70268693
LSM-1748	BRD-A70407468
LSM-1749	BRD-A70461345
LSM-1750	BRD-A70514680
LSM-1751	BRD-A70649075
LSM-1752	BRD-A71009679
LSM-1753	BRD-A71157293
LSM-1754	BRD-A71203467
LSM-1755	BRD-A71262238
